Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh
AIRCRAFT,MILITARY,AEROMil,AERO,"Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52",航空器,军用,战斗机、轰炸机、隐形轰炸机、蓝天使特技飞行队、雷鸟、军用无人机、 洛克希德、米格、F18、F16、F35、F22、A10、P52、 军用飞机
AIRCRAFT,MISC,AEROMisc,AERO,Aircraft not fitting another category in this list.,"blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible",航空器,杂项,飞艇、 滑翔机、 热气球、 超轻型、 悬挂式滑翔机、 齐柏林飞艇、 飞船、 其他种类的飞机
AIRCRAFT,PROP,AEROProp,AERO,Aircraft using props as means of propulsion. A propeller airplane.,"biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew",航空器,螺旋桨飞机,双翼飞机、三翼飞机、涡轮螺旋桨飞机、特技飞机、作物喷粉器、农用飞机、螺旋桨、双螺旋桨、螺旋桨喷气发动机、螺旋桨
AIRCRAFT,RADIO CONTROLLED,AERORadio,AERO,"Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopters, uav, unmanned aerial vehicle, rc jet, rc helicopter, drone",航空器,塔台,四轴飞行器、 无人机、 无人驾驶飞行器、 遥控直升机
AIRCRAFT,ROCKET,AERORckt,AERO,"Jet powered rockets and rocket engines., missiles.","rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket, warhead",航空器,火箭,火箭、 导弹、 喷气背包、 航天飞机、 SpaceX、 美国航空航天局、 洲际导弹、 核火箭、 推进器
ALARMS,BELL,ALRMBell,ALRM,"All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","fire bell, school bell, railroad crossing bell, alarm bell",警报,警铃,火铃、校铃、铁路道口铃、 平交道警铃、雪橇铃
ALARMS,BUZZER,ALRMBuzr,ALRM,"All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","door buzzer, game show buzzer, front door buzzer, entry buzzer, intercom buzzer",警报,蜂鸣器,门铃、游戏节目蜂鸣器
ALARMS,CLOCK,ALRMClok,ALRM,"Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digital alarm clock, alarm clock, alarm clock",警报,钟表,数字闹钟、闹钟
ALARMS,ELECTRONIC,ALRMElec,ALRM,"All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","fire detector, smoke detector, CO2 detector, car alarm, home alarm",警报,电器,火灾探测器、家庭防盗报警器、 二氧化碳报警器、 报警器系统
ALARMS,MISC,ALRMMisc,ALRM,Alarm sounds not fitting another category in this list.,miscellaneous,警报,杂项,各种各样的、 其他种类的警报
ALARMS,SIREN,ALRMSirn,ALRM,"Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, ahooga horn, air raid siren, tornado siren",警报,警报,空袭警报器、汽笛、 车辆鸣笛、 警车警笛、 救护车警笛
AMBIENCE,AIR,AMBAir,AMB,"Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","desert, winter, quiet air, night air, mountain air, night air",环境,空气,沙漠、冬天、安静的空气、夜间空气、山间空气、房屋外空气
AMBIENCE,ALPINE,AMBAlpn,AMB,"Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alps, mountains, rockies, tetons, mountaineering, mountainous, snowcapped, mountainside, peak",环境,高山,山、落基山脉、群山、雪山、山腰、山峰
AMBIENCE,AMUSEMENT,AMBAmus,AMB,"Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair, festival, haunted house, funhouse, arcade, pinball",环境,娱乐,迪士尼乐园、 主题公园、 游乐园、 嘉年华、 工会、 市集、 旅游博览会、 展览、 儿童乐园
AMBIENCE,BIRDSONG,AMBBird,AMB,"Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping",环境,鸟鸣,合唱团、鸟鸣、啁啾、鸣叫
AMBIENCE,CELEBRATION,AMBCele,AMB,"Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","public gathering, event, party, gala, carnival, fest, fiesta, festival",环境,庆典,公众聚会、活动、派对、晚会、嘉年华
AMBIENCE,CONSTRUCTION,AMBCnst,AMB,"Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","road construction, building, carpentry, remodel, home reno, road repair, rebuilding",环境,施工,道路建设、 建筑、 木工、手提钻、起重机、打桩机、复合施工场景、道路施工
AMBIENCE,DESERT,AMBDsrt,AMB,Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.,"desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes, desolate",环境,沙漠,沙漠、风滚草、绿洲、贫瘠、荒地、撒哈拉、干旱、沙丘
AMBIENCE,DESIGNED,AMBDsgn,AMB,Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.,"artificial, designed",环境,设计,人造场景、幻想、科幻、中土、魔幻
AMBIENCE,EMERGENCY,AMBEmrg,AMB,"Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty",环境,紧急,犯罪现场、消防、警察、医务人员、证据、自然灾害、射击、事故、灾难、伤害、泥石流、 地震、 洪水
AMBIENCE,FANTASY,AMBFant,AMB,"Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fairy, fantasy, magical, realm, dream, middle earth, pandora",环境,奇幻,幻想、科幻、中土世界
AMBIENCE,FARM,AMBFarm,AMB,"Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral, pastoral",环境,农场,农场、收获、耕作、牧场、农庄、田庄、种植园、农田、谷仓、牧场、农作物、稻谷、乳制品、葡萄园、畜栏、田园、拖拉机
AMBIENCE,FOREST,AMBForst,AMB,"Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer",环境,森林,森林、树林、林地、热带雨林、雨林、云雾林、落叶、针叶树、阔叶林
AMBIENCE,GRASSLAND,AMBGras,AMB,"Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prairie, farmland, grass, meadow, grazing, pasture, plains",环境,草地,草原、农田、草地、草地、放牧、牧场、草甸
AMBIENCE,HISTORICAL,AMBHist,AMB,"Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ghost town, old west, gold rush, ancient rome, ancient greece",环境,历史年代,鬼城、 老西部、 淘金热、 古罗马、 古希腊
AMBIENCE,HITECH,AMBTech,AMB,"Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratory, machine room, server, data center, control room",环境,高科技,实验室、机房、服务器、数据中心、控制室、宇宙飞船内部
AMBIENCE,HOSPITAL,AMBHosp,AMB,"Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary",环境,医院,急诊室、手术室、候诊室、病房、诊所、疗养院、医务室、 兽医医院
AMBIENCE,INDUSTRIAL,AMBInd,AMB,"Industrial warehouses and factories, plants or any ambience with an industrial feeling.","factory, manufacturing, plant, mill, warehouse, workshop",环境,工业,工厂、制造、厂、车间、仓库
AMBIENCE,INSECT,AMBInsc,AMB,"Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","crickets, cicadas, katydids, swam, locusts",环境,昆虫,蝉、 蟋蟀、 昆虫
AMBIENCE,LAKESIDE,AMBLake,AMB,"Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","lakes, lakeside, lapping, swimming, reservoir, pond, loch",环境,湖岸,湖泊、湖边、水波浪、游泳、水库、池塘、湖泊
AMBIENCE,MARKET,AMBMrkt,AMB,"Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square",环境,市场,市场、供应商、购物区、集市、交换、跳蚤市场、广场
AMBIENCE,MISC,AMBMisc,AMB,Ambience sounds not fitting another category in this list.,miscellaneous,环境,杂项,其他种类的环境、 各种各样的
AMBIENCE,NAUTICAL,AMBNaut,AMB,"Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina",环境,航海,航海、造船厂、船尾甲板、船头、船尾、捕鱼、 航海、远洋、船舱、 深海、 海洋、海事、码头、船坞
AMBIENCE,OFFICE,AMBOffc,AMB,"Workplaces, offices, people working, typing, telephones. General offices of various sizes.","office, cubicle, workplace, department, station, branch, workstation",环境,办公室,办公室、隔间、工作场所、部门、车站、分支机构、工作站
AMBIENCE,PARK,AMBPark,AMB,"Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, playground, gardens, botantical gardens, city park, suburban park, ballpark, parkland",环境,公园,公园、 操场、 花园、 植物园、 城市公园、 郊区公园、 棒球场
AMBIENCE,PRISON,AMBPrisn,AMB,"Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution",环境,监狱,监狱、 监狱院子、 拘留、 监禁室、 刑罚机构、 禁闭室、 拘留所、 放风场
AMBIENCE,PROTEST,AMBPrtst,AMB,"Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, rally, rallies, riot, chanting, yelling, screaming, angry crowd, marches, demonstration, turmoil, revolt, revolution, angry",环境,游行,抗议、集会、集会、骚乱、高喊、大喊大叫、尖叫、愤怒的人群、游行、示威、动荡、反抗、革命、愤怒、 怒吼、 口号
AMBIENCE,PUBLIC PLACE,AMBPubl,AMB,"Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","stores, lobbies, hotels, malls, museums, public squares, courtyards, gyms, fitness center, motel, library, courthouse, court",环境,公共场所,除餐厅外其他室内或室外公共场所、商店、大堂、酒店、商场、博物馆、公共广场、庭院
AMBIENCE,RELIGIOUS,AMBRlgn,AMB,"Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","church, temple, mosque, chapel, derasar, cathedral",环境,宗教场所,教堂、寺庙、清真寺、教堂、宗教集会、大教堂、朝圣
AMBIENCE,RESIDENTIAL,AMBHome,AMB,"Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","home, apartment, condo, mansion, house, townhouse, cabin, house, residence",环境,住宅区,房间、 窗外、 室内
AMBIENCE,RESTAURANT & BAR,AMBRest,AMB,"Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, foodcart, diner, cafe, cafeteria, canteen, tearoom, saloon, coffee shop, pizzeria, fast-food, wine bar, automat, commissary, tavern, nightclub, deli, eatery, brasserie, drive-in",环境,餐馆,餐厅、酒吧、酒馆、美食酒吧、餐车、小餐馆、咖啡厅、自助餐厅、食堂、茶室、沙龙、咖啡店、比萨店、快餐店、酒吧、自动售货机、小卖部、夜总会、熟食店、餐馆
AMBIENCE,ROOM TONE,AMBRoom,AMB,"Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","room tone, dead air, quiet air",环境,房间底噪,房间、寂静、安静的空气、 空荡
AMBIENCE,RURAL,AMBRurl,AMB,"Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","countryside, plain, prairie, grassland, mountain, rolling hill, savanna, tundra, meadow, canyon, coulee, scrub, scrubland, plateau",环境,农村,农村、平原、草原、山、连绵起伏的丘陵、树林、草地、峡谷、断崖、灌木丛、高原、 戈壁
AMBIENCE,SCHOOL,AMBSchl,AMB,"Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","grade school, middle school, highschool, college, preschool, university, classroom, assembly",环境,校园,小学、初中、高中、学院、学前班、大学、课堂、大会、教室、 操场、 学校走廊、 放学、 食堂
AMBIENCE,SCIFI,AMBSci,AMB,"A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","spaceship, tech center, command center, scifi, futuristic, high-tech, hi-tec",环境,科幻,科技实验室、 宇宙飞船、 赛伯朋克、 蒸汽朋克
AMBIENCE,SEASIDE,AMBSea,AMB,Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.,"beach, seaside, strand, coastal, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor",环境,海边,海滩、海边、沿海、沙滩、海岸线、海滨、木板路、海滩度假村、海堤、码头、海港、 岸边
AMBIENCE,SPORT,AMBSprt,AMB,"Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice",环境,运动场,NFI、 足球、 NBA、 篮球、 美国职业棒球大联盟、 棒球、 网球、 体育赛事、 小联盟、 训练、排球、冰球
AMBIENCE,SUBURBAN,AMBSubn,AMB,"Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","suburb, residential, neighborhood, cul-de-sac, village, barrio, outskirts, hamlet",环境,郊区,郊区、住宅、邻里、死胡同、村庄、乡村、郊区
AMBIENCE,SWAMP,AMBSwmp,AMB,"A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","frog, bog, swamp, everglade, wetland, riparian, lakeside, lake, mangrove",环境,沼泽地,青蛙、沼泽、湿地、河岸、湖边、湖、红树林、 湿地树木
AMBIENCE,TOWN,AMBTown,AMB,"Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","town, village, hamlet, small town, community, settlement",环境,小镇,镇、村、小村庄、小镇、社区、社区
AMBIENCE,TRAFFIC,AMBTraf,AMB,"Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","car bys, freeway, highway, boulevard, avenue, motorway",环境,交通,车道、 高速公路、 林荫大道、 公路、 马路
AMBIENCE,TRANSPORTATION,AMBTran,AMB,"Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","train station, airport, bus station, subway station, tube station, metro station, terminal, depot, terminus",环境,交通工具,火车站、机场、汽车站、地铁站、终点站、车厂、火车、公交车站
AMBIENCE,TROPICAL,AMBTrop,AMB,"Jungles and rainforests, lush animal life and vegetation.","jungle, bush, tropical rainforest, cloud forest, tropical",环境,热带,丛林、灌木、热带雨林、云雾林、热带植物
AMBIENCE,TUNDRA,AMBTndra,AMB,"Treeless environments where the ground is permanently frozen, arctic, antarctic.","artic, antartic, plateau, north pole, south pole, polar, glacier, snow, ice",环境,冻土,北极、南极、高原、极地、冰川、雪、冰原、 雪原、 暴风雪
AMBIENCE,UNDERGROUND,AMBUndr,AMB,"Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","cave, drips, echoes, sewer, bunker, tunnel, dungeon, lava tube, cellar, subterranean, sunken, buried, belowground, basement, shaft, mine, passage, passageway",环境,地下,洞穴、滴水、回声、下水道、地堡、隧道、地牢、熔岩管、地窖、地下、沉没、埋藏、地下室、竖井、矿井、通道、矿道
AMBIENCE,UNDERWATER,AMBUndwtr,AMB,"Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","underwater, reef, coral, ocean trench, submerged, undersea, subaquatic, shipwreck",环境,水下,水下、礁石、珊瑚、海沟、淹没、海底、水下、海底生物、 深海、 鱼类、 鲨鱼
AMBIENCE,URBAN,AMBUrbn,AMB,"Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropolis, dense city, city, downtown, inner city, metropolitan, bustling, rush hour, congestion, city center, slum, skid row, ghetto, financial district",环境,城市,大都市、 密集的城市、 城市、 市中心、 内城、 大都会、 繁华、 高峰时间、 拥堵、 贫民窟、 金融区、 城区、 高楼、 街区、 人群
AMBIENCE,WARFARE,AMBWar,AMB,"Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","war, warfare, battle, skirmish, combat, fight, engagement, assault, offensive, blitz, air-raid, raid, bombardment, barrage, fusillade, blitzkrieg, salvo, flak, broadside, cannonade",环境,战争,战争、战斗、小规模冲突、遭遇、攻击、进攻、闪电战、空袭、突袭、轰炸、弹幕、飞弹、闪电战、齐射、高射炮、战舰、大炮
ANIMALS,AMPHIBIAN,ANMLAmph,ANML,"Technically any amphibian, but most likely used for frogs and toads.","frog, toad, bullfrog, salamander, newt, chorus frog, peeper, croaker, axolotl",动物,两栖动物,青蛙、蟾蜍、牛蛙、蝾螈、黄花鱼
ANIMALS,AQUATIC,ANMLAqua,ANML,"All manner of marine and sea animals, not just mammals, but anything that lives in water.","whale, dolphin, porpoise, sea lion, seal, killer whale, orca, manatee, walrus, elephant seal, marine otter, sea otter, beluga, narwhal, dugong, shark, stingray, jellyfish, squid, octopus, crabs, lobsters, eels",动物,水生动物,鲸鱼、 海豚、 鼠海豚、 海狮、 虎鲸、 逆戟鲸、 海牛、 海象、 海豹、 水獭、 海獭、 白鲸、 独角鲸、 儒艮、 鲨鱼、 黄貂鱼、 海蜇、 鱿鱼、 章鱼
ANIMALS,BAT,ANMLBat,ANML,"Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","flying fox, vampire bats, fruit bat",动物,蝙蝠,狐蝠、吸血蝙蝠、果蝠
ANIMALS,CAT DOMESTIC,ANMLCat,ANML,Domesticated house cats. See also ANIMALS-CAT WILD.,"meow, purr, kitten, kitty, feline, alley cat",动物,家猫,喵、呼噜声、小猫、大猫、猫科动物、胡同猫、 长毛猫、 短毛猫
ANIMALS,CAT WILD,ANMLWcat,ANML,Wild cats as opposed to domesticated cats. Tigers and Lions.,"lion, tiger, puma, cougar, leopard, jaguar, snow leopard, cheetah, lynx, bobcat, caracal, ocelot, panther, serval",动物,猫科动物,狮子、老虎、美洲狮、豹、美洲虎、雪豹、猎豹、猞猁、山猫、狞猫、豹猫、豹、薮猫
ANIMALS,DOG,ANMLDog,ANML,"All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","dog, hound, bark, puppy, doggie, lapdog, mutt, pooch",动物,狗,狗、猎犬、吠声、小狗、大狗、哈巴狗、杂种狗、巡回犬、 牧羊犬、 柯基、 柴犬
ANIMALS,DOG WILD,ANMLWdog,ANML,"Wild dogs and canines like Wolves, Foxes, Coyotes etc.","wolf, fox, coyote, jackal, dingo, lupus, canid",动物,犬科动物,狼、狐狸、土狼、豺狼、野狗、狼疮、 藏狐
ANIMALS,FARM,ANMLFarm,ANML,Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.,"cow, sheep, goat, pig, cattle, llama, alpaca",动物,养殖场,牛、绵羊、山羊、猪、牛、美洲驼、羊驼、 奶牛
ANIMALS,HORSE,ANMLHors,ANML,"All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","donkey, mule, ass, zebra",动物,马,驴、骡、驴、斑马
ANIMALS,INSECT,ANMLInsc,ANML,"All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","grasshopper, cricket, cicada, fly, bee, wasp, hornet, weta, conehead, locust, beetle, cockroach",动物,昆虫,蚱蜢、蟋蟀、蝉、果蝇、蜜蜂、黄蜂、 蚂蜂、大黄蜂、螳螂、独角仙、蝗虫、甲虫、蟑螂
ANIMALS,MISC,ANMLMisc,ANML,Other animals not finding a clear category.,miscellaneous,动物,其他,其他种类的动物、 各种各样的
ANIMALS,PRIMATE,ANMLPrim,ANML,"All members of the primate family except humans. Apes, Chimps, etc.","chimpanzee, ape, gorilla, lemur, orangutan, capuchin, marmoset, monkey, gibbon, bonobo, baboon",动物,灵长类,黑猩猩、猿、大猩猩、狐猴、卷尾猴、狨猴、猴子、长臂猿、倭黑猩猩、狒狒
ANIMALS,REPTILE,ANMLRept,ANML,"All reptiles including snakes, turtles and lizzards.","snake, lizard, alligator, crocodile, turtle, gharial, caiman, gecko",动物,爬行动物,蛇、蜥蜴、鳄鱼、鳄鱼、龟、恒河鳄、凯门鳄、壁虎
ANIMALS,RODENT,ANMLRdnt,ANML,All manner 'gnawing' animals like rats and mice. Rodents.,"mouse, mice, rat, squirrel, mole, porcupine, guinea pig, chipmunk, beaver, gopher, raccoon, prairie dog, gerbil, hamster, marmot, lemming, muskrat, chinchilla, rodent",动物,啮齿动物,老鼠、 松鼠、 鼹鼠、 豪猪、 豚鼠、 花栗鼠、 海狸、 地鼠、 浣熊、 草原土拨鼠、 沙鼠、 仓鼠、 土拨鼠、 旅鼠、 麝鼠、 龙猫
ANIMALS,WILD,ANMLWild,ANML,"Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","bear, giraffe, hippo, elephant, elk, deer, gazelle, badger, anteater, platypus, sloth, wolverine, boar, wombat, koala, kangaroo, wallaby, wildebeest, panda, antelope, racoon, elk, reindeer, rhino, aardvark, warthog, impala, hippopotamus, honey badger, buffalo, moose",动物,野生动物,熊、长颈鹿、河马、大象、麋鹿、鹿、斑羚、獾、食蚁兽、鸭嘴兽、树懒、金刚狼、野猪、袋熊、考拉、袋鼠、小袋鼠、角马、鬣狗、熊猫、羚羊、浣熊、麋鹿、驯鹿、犀牛、土豚、疣猪、黑斑羚、河马、蜜獾、水牛、驼鹿
ARCHIVED,ADR,ADR,ADR,Re-recorded lines via the ADR process.,"adr, loop, replacement dialog",归档,ADR,后期录音
ARCHIVED,ASSET,ASSET,ASSET,"A delivered or stored asset, most likely for video game use, but something used in the development of a project.","asset, resource, tag",存档,资源,资产、资源、标签
ARCHIVED,BOUNCE,BNCE,BNCE,"Bounces made for picture department, layered bounces.","bounce, crashdown",归档,导出,素材导出、多层素材合并
ARCHIVED,IMPULSE RESPONSE,IR,IR,"Impulse Responses, reverb and otherwise.","impulse response, IR, altiverb, reverb sample, convolution reverb",归档,卷积混响素材,混响、IR、卷积混响、混响采样
ARCHIVED,LOOP GROUP,LPGRP,LPGRP,Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.,"loop group, walla",归档,循环群组,循环声音素材
ARCHIVED,MIX,MIX,MIX,"Premixes, final mixes, mixdowns, stems.","premix, final mix, stem, M&E, mixdown, printmaster",归档,混音,预混、最终混音、M&E、混音、分轨
ARCHIVED,PFX,PFX,PFX,FX Stolen from production takes only. Beware of possible rights issues.,production,归档,其他产品素材,现场音效
ARCHIVED,PRODUCTION,PROD,PROD,"Production takes, dialog lines and other spoken line production takes.","production take, dialog line, dx",归档,现场录音,对话、 台词
ARCHIVED,RAW,RAW,RAW,"Raw recording files, for example a load of a full DAT tape.","dat tape, raw files, unprocessed",归档,原始素材,数据磁带、原始文件、未处理的素材
ARCHIVED,REFERENCE,REF,REF,"Reference material, often restricted, used for reference only. Beware of possible rights issues.","reference, inspiration",归档,参考素材,参考、灵感
ARCHIVED,SCENE,SCNE,SCNE,"Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, prebuilt",归档,场景素材,素材、 设计的素材
